group,variant,label,mqar_model,pretrain_model,mqar_args,pretrain_args
ab1_norm,a1_kla,KLA,RelaxedKaczmarzQNorm_MQAR,RelaxedKaczmarzQNorm_0.4B,"--qk_norm relaxed_kaczmarz_q_norm --gate_mode dual --seq_factor_mode none","--qk_norm relaxed_kaczmarz_q_norm --gate_mode dual --seq_factor_mode none"
ab1_norm,a1_no_norm,NoNorm,GatedDeltaNet_MQAR,GatedDeltaNet_0.4B,"--qk_norm no_norm --gate_mode dual --seq_factor_mode none","--qk_norm no_norm --gate_mode dual --seq_factor_mode none"
ab1_norm,a1_k_norm_only,KNormOnly,GatedDeltaNet_MQAR,GatedDeltaNet_0.4B,"--qk_norm k_norm_only --gate_mode dual --seq_factor_mode none","--qk_norm k_norm_only --gate_mode dual --seq_factor_mode none"
ab1_norm,a1_seq_only,SeqOnly1OverT,GatedDeltaNet_MQAR,GatedDeltaNet_0.4B,"--qk_norm seq_only --gate_mode dual --seq_factor_mode none","--qk_norm seq_only --gate_mode dual --seq_factor_mode none"
ab1_norm,a1_learned_norm,LearnedNorm,GatedDeltaNet_MQAR,GatedDeltaNet_0.4B,"--qk_norm learned_scalar --gate_mode dual --seq_factor_mode none --learned_norm_init 1.0","--qk_norm learned_scalar --gate_mode dual --seq_factor_mode none --learned_norm_init 1.0"
ab2_seq_factor,a2_no_seq_factor,NoSeqFactor,RelaxedKaczmarzQNorm_MQAR,RelaxedKaczmarzQNorm_0.4B,"--qk_norm relaxed_kaczmarz_q_norm --seq_factor_mode none --gate_mode dual","--qk_norm relaxed_kaczmarz_q_norm --seq_factor_mode none --gate_mode dual"
ab2_seq_factor,a2_inv_t,OneOverT,RelaxedKaczmarzQNorm_MQAR,RelaxedKaczmarzQNorm_0.4B,"--qk_norm relaxed_kaczmarz_q_norm --seq_factor_mode inv_t --gate_mode dual","--qk_norm relaxed_kaczmarz_q_norm --seq_factor_mode inv_t --gate_mode dual"
ab2_seq_factor,a2_inv_sqrt_t,OneOverSqrtT,RelaxedKaczmarzQNorm_MQAR,RelaxedKaczmarzQNorm_0.4B,"--qk_norm relaxed_kaczmarz_q_norm --seq_factor_mode inv_sqrt_t --gate_mode dual","--qk_norm relaxed_kaczmarz_q_norm --seq_factor_mode inv_sqrt_t --gate_mode dual"
ab2_seq_factor,a2_inv_log_t,OneOverLogT,RelaxedKaczmarzQNorm_MQAR,RelaxedKaczmarzQNorm_0.4B,"--qk_norm relaxed_kaczmarz_q_norm --seq_factor_mode inv_log_t --gate_mode dual","--qk_norm relaxed_kaczmarz_q_norm --seq_factor_mode inv_log_t --gate_mode dual"
ab3_gate,a3_kla_single_gate,KLA_SingleGate,RelaxedKaczmarzQNorm_MQAR,RelaxedKaczmarzQNorm_0.4B,"--qk_norm relaxed_kaczmarz_q_norm --gate_mode single --seq_factor_mode none","--qk_norm relaxed_kaczmarz_q_norm --gate_mode single --seq_factor_mode none"
ab3_gate,a3_gdn_dual_gate,GDN_DualGate,GatedDeltaNet_MQAR,GatedDeltaNet_0.4B,"--gate_mode dual --seq_factor_mode none","--gate_mode dual --seq_factor_mode none"
ab3_gate,a3_gla_independent_gate,GLA_IndependentGate,GLA_MQAR,GLA_0.4B,"",""
ab4_state,a4_expand_v2,StateExpandV2,RelaxedKaczmarzQNorm_MQAR,RelaxedKaczmarzQNorm_0.4B,"--qk_norm relaxed_kaczmarz_q_norm --expand_v 2 --gate_mode dual --seq_factor_mode none","--qk_norm relaxed_kaczmarz_q_norm --expand_v 2 --gate_mode dual --seq_factor_mode none"
ab4_state,a4_expand_v4,StateExpandV4,RelaxedKaczmarzQNorm_MQAR,RelaxedKaczmarzQNorm_0.4B,"--qk_norm relaxed_kaczmarz_q_norm --expand_v 4 --gate_mode dual --seq_factor_mode none","--qk_norm relaxed_kaczmarz_q_norm --expand_v 4 --gate_mode dual --seq_factor_mode none"
ab4_state,a4_expand_v8,StateExpandV8,RelaxedKaczmarzQNorm_MQAR,RelaxedKaczmarzQNorm_0.4B,"--qk_norm relaxed_kaczmarz_q_norm --expand_v 8 --gate_mode dual --seq_factor_mode none","--qk_norm relaxed_kaczmarz_q_norm --expand_v 8 --gate_mode dual --seq_factor_mode none"
ab4_state,a4_expand_v16,StateExpandV16,RelaxedKaczmarzQNorm_MQAR,RelaxedKaczmarzQNorm_0.4B,"--qk_norm relaxed_kaczmarz_q_norm --expand_v 16 --gate_mode dual --seq_factor_mode none","--qk_norm relaxed_kaczmarz_q_norm --expand_v 16 --gate_mode dual --seq_factor_mode none"
