Model,Phase,Context Length,Batch Size,New Tokens,Latency Mean (ms),Latency P50 (ms),Latency P90 (ms),Latency Std (ms),Latency/Token (ms),Tokens/s,Peak Allocated MiB,Peak Reserved MiB,Num Runs
DeltaNet,decode,4096,1,32,3591.4079188369215,3591.4079188369215,3597.690297290683,6.282378453761339,112.2314974636538,8.910154658890214,1508.43212890625,22324.0,1
DeltaNet,decode,8192,1,32,6879.016351420432,6879.016351420432,6886.726980097592,7.710628677159548,214.9692609818885,4.65182787265688,2021.49462890625,22324.0,1
DeltaNet,decode,16384,1,32,12282.510307617486,12282.510307617486,13303.189258091152,1020.6789504736662,383.8284471130464,2.60533060413179,3048.61962890625,22324.0,1
GDN,decode,4096,1,32,3824.872179888189,3824.872179888189,3828.6674562841654,3.7952763959765434,119.5272556215059,8.366292648486738,1508.44287109375,20994.0,1
GDN,decode,8192,1,32,7284.873200114816,7284.873200114816,7286.460944451392,1.5877443365752697,227.652287503588,4.392663965584967,2021.50537109375,20994.0,1
GDN,decode,16384,1,32,14047.00838914141,14047.00838914141,14061.18971388787,14.181324746459723,438.9690121606691,2.2780651305609365,3048.63037109375,20994.0,1
GLA,decode,4096,1,32,2527.261159848422,2527.261159848422,2534.6249882131815,7.363828364759684,78.97691124526318,12.661928457729818,1408.64794921875,20818.0,1
GLA,decode,8192,1,32,4942.665821872652,4942.665821872652,4951.78076531738,9.114943444728851,154.45830693352036,6.474239034812191,1921.71044921875,20818.0,1
GLA,decode,16384,1,32,8940.238116309047,8940.238116309047,9806.322489865124,866.0843735560775,279.3824411346577,3.579323009487259,2947.83544921875,20818.0,1
GLA,decode,32768,1,32,19043.237221427262,19043.237221427262,19050.247613340616,7.010391913354397,595.1011631696019,1.6803865659980288,5000.08544921875,20818.0,1
KLA,decode,4096,1,32,3938.642001710832,3938.642001710832,3942.675618454814,4.033616743981838,123.0825625534635,8.124627723489498,1508.44287109375,21568.0,1
KLA,decode,8192,1,32,7440.706633031368,7440.706633031368,7450.65937563777,9.952742606401443,232.52208228223026,4.300666801986668,2021.50537109375,21568.0,1
KLA,decode,16384,1,32,14640.238751191646,14640.238751191646,14649.397265166044,9.158513974398375,457.50746097473893,2.185756704097148,3048.63037109375,21568.0,1
Longhorn,decode,4096,1,32,3591.0449139773846,3591.0449139773846,3591.6557163000107,0.6108023226261139,112.22015356179327,8.9110553520082,1508.44287109375,20244.0,1
Longhorn,decode,8192,1,32,6875.7952474989,6875.7952474989,6884.545627981424,8.750380482524633,214.86860148434062,4.65400711454288,2021.50537109375,20244.0,1
Longhorn,decode,16384,1,32,13257.975774817169,13257.975774817169,13272.485759109259,14.50998429208994,414.3117429630365,2.4136414595644626,3048.63037109375,20244.0,1
Mamba2,decode,4096,1,32,3048.953177873045,3048.953177873045,3054.9981128424406,6.044934969395399,95.27978680853266,10.495405515647589,1213.0966796875,17446.0,1
Mamba2,decode,8192,1,32,5192.265492863953,5192.265492863953,5199.06685128808,6.801358424127102,162.25829665199853,6.163013051620637,1737.1591796875,17446.0,1
Mamba2,decode,16384,1,32,9891.121674329042,9891.121674329042,9909.800054505467,18.67838017642498,309.0975523227826,3.235224583583004,2785.2841796875,17446.0,1
Mamba2,decode,32768,1,32,19915.54516647011,19915.54516647011,19916.800446808338,1.2552803382277489,622.360786452191,1.6067850381457458,4881.5341796875,17446.0,1
