Model,Phase,Context Length,Batch Size,New Tokens,Latency Mean (ms),Latency P50 (ms),Latency P90 (ms),Latency Std (ms),Latency/Token (ms),Tokens/s,Peak Allocated MiB,Peak Reserved MiB,Num Runs
DeltaNet,prefill,4096,1,0,112.91302321478724,112.91302321478724,114.11542817950249,1.2024049647152424,,36275.70924399429,1258.39990234375,1732.0,1
DeltaNet,prefill,8192,1,0,214.41585663706064,214.41585663706064,215.3786439448595,0.9627873077988625,,38206.12956749047,1521.43115234375,2330.0,1
DeltaNet,prefill,16384,1,0,416.5985709987581,416.5985709987581,420.14540173113346,3.5468307323753834,,39328.027363898094,2048.49365234375,3716.0,1
DeltaNet,prefill,32768,1,0,814.4653812050819,814.4653812050819,820.5124419182539,6.047060713171959,,40232.52645989264,3099.61865234375,6484.0,1
DeltaNet,prefill,65536,1,0,1603.7885821424425,1603.7885821424425,1607.418779283762,3.6301971413195133,,40863.24140832382,5203.86865234375,11252.0,1
DeltaNet,prefill,131072,1,0,3157.351386733353,3157.351386733353,3161.132413893938,3.7810271605849266,,41513.27614365065,9412.36865234375,22324.0,1
GDN,prefill,4096,1,0,122.80159024521708,122.80159024521708,126.77889317274094,3.9773029275238514,,33354.616921661014,1258.41064453125,1746.0,1
GDN,prefill,8192,1,0,223.60875783488154,223.60875783488154,237.92061023414135,14.311852399259806,,36635.41660586113,1521.44189453125,2344.0,1
GDN,prefill,16384,1,0,435.99051143974066,435.99051143974066,449.3309333920479,13.340421952307224,,37578.79946950285,2048.50439453125,3538.0,1
GDN,prefill,32768,1,0,855.0529307685792,855.0529307685792,878.1269490718842,23.07401830330491,,38322.773738166026,3099.62939453125,5922.0,1
GDN,prefill,65536,1,0,1695.8073857240379,1695.8073857240379,1720.5817708745599,24.774385150521994,,38645.89843852986,5203.87939453125,11458.0,1
GDN,prefill,131072,1,0,3350.4872722551227,3350.4872722551227,3352.080339565873,1.5930673107504845,,39120.27993223176,9412.37939453125,20994.0,1
GLA,prefill,4096,1,0,83.25008535757661,83.25008535757661,83.61391257494688,0.3638272173702717,,49201.15075446253,1158.61572265625,1286.0,1
GLA,prefill,8192,1,0,157.18195121735334,157.18195121735334,160.04114504903555,2.859193831682205,,52117.943164301294,1421.64697265625,2170.0,1
GLA,prefill,16384,1,0,302.49453196302056,302.49453196302056,304.69241086393595,2.1978789009153843,,54162.962529196775,1947.70947265625,3362.0,1
GLA,prefill,32768,1,0,588.9934217557311,588.9934217557311,589.9238586425781,0.9304368868470192,,55633.89808721774,2999.83447265625,5746.0,1
GLA,prefill,65536,1,0,1157.6171326451004,1157.6171326451004,1161.6771947592497,4.060062114149332,,56612.84560487917,5104.08447265625,11282.0,1
GLA,prefill,131072,1,0,2296.118386555463,2296.118386555463,2303.387121297419,7.268734741955996,,57084.164635181776,9312.58447265625,20818.0,1
KLA,prefill,4096,1,0,132.23787443712354,132.23787443712354,134.4201024621725,2.182228025048971,,30974.484560000743,1258.41064453125,1744.0,1
KLA,prefill,8192,1,0,228.76010835170746,228.76010835170746,247.32137937098742,18.561271019279957,,35810.439411950276,1521.44189453125,2342.0,1
KLA,prefill,16384,1,0,460.51861019805074,460.51861019805074,478.3345488831401,17.81593868508935,,35577.28099838114,2048.50439453125,3728.0,1
KLA,prefill,32768,1,0,879.4679339043796,879.4679339043796,892.7186112850904,13.25067738071084,,37258.8911281019,3099.62939453125,6496.0,1
KLA,prefill,65536,1,0,1739.1958208754659,1739.1958208754659,1754.1434615850449,14.947640709578991,,37681.783277866256,5203.87939453125,12032.0,1
KLA,prefill,131072,1,0,3476.594270672649,3476.594270672649,3486.04179546237,9.447524789720774,,37701.26445460669,9412.37939453125,21568.0,1
Longhorn,prefill,4096,1,0,110.5632889084518,110.5632889084518,111.06492672115564,0.5016378127038479,,37046.654820403855,1258.41064453125,1764.0,1
Longhorn,prefill,8192,1,0,165.76507687568665,165.76507687568665,193.0383024737239,27.273225598037243,,49419.33581186997,1521.44189453125,2362.0,1
Longhorn,prefill,16384,1,0,383.76554753631353,383.76554753631353,386.73214334994555,2.9665958136320114,,42692.7328552068,2048.50439453125,3556.0,1
Longhorn,prefill,32768,1,0,665.9795669838786,665.9795669838786,691.9398438185453,25.96027683466673,,49202.71075042339,3099.62939453125,5940.0,1
Longhorn,prefill,65536,1,0,1290.557452943176,1290.557452943176,1299.142018891871,8.584565948694944,,50781.156507633284,5203.87939453125,10708.0,1
Longhorn,prefill,131072,1,0,3068.8951751217246,3068.8951751217246,3146.7004837468266,77.80530862510204,,42709.83286185432,9412.37939453125,20244.0,1
Mamba2,prefill,4096,1,0,82.90046080946922,82.90046080946922,92.45573077350855,9.555269964039326,,49408.651773527155,963.064453125,1946.0,1
Mamba2,prefill,8192,1,0,188.16398410126567,188.16398410126567,188.2056724280119,0.04168832674622536,,43536.49312395111,1237.095703125,2446.0,1
Mamba2,prefill,16384,1,0,336.53980726376176,336.53980726376176,354.9975035712123,18.457696307450533,,48683.69104151505,1785.158203125,3446.0,1
Mamba2,prefill,32768,1,0,667.4287798814476,667.4287798814476,667.5954647362232,0.1666848547756672,,49095.87507721863,2881.283203125,5446.0,1
Mamba2,prefill,65536,1,0,1326.0134388692677,1326.0134388692677,1326.1801917105913,0.16675284132361412,,49423.33017068406,5073.533203125,9446.0,1
Mamba2,prefill,131072,1,0,2693.8217622227967,2693.8217622227967,2696.090267971158,2.268505748361349,,48656.522802698884,9458.033203125,17446.0,1
