Model,Phase,Context Length,Batch Size,New Tokens,Latency Mean (ms),Latency P50 (ms),Latency P90 (ms),Latency Std (ms),Latency/Token (ms),Tokens/s,Peak Allocated MiB,Peak Reserved MiB,Num Runs
GDN,decode,4096,1,32,1213.5008831198018,1211.9469661265612,1218.2313865050673,3.4099375070466698,37.921902597493805,26.369984929661424,1508.44287109375,20994.0,1
GDN,decode,8192,1,32,2346.7683366810284,2352.2441843524575,2352.5256300345063,7.9438611888711375,73.33651052128214,13.635772862547116,2021.50537109375,20994.0,1
GDN,decode,16384,1,32,5096.870742117365,4627.350404858589,6076.668170280755,693.0211773669599,159.27721069116765,6.278362081182858,3048.63037109375,20994.0,1
GDN,decode,32768,1,32,19385.856428804498,19396.88523579389,19398.8680774346,17.018432067177127,605.8080134001406,1.650687970248906,5099.88037109375,20994.0,1
KLA,decode,4096,1,32,1216.283068060875,1217.434954829514,1218.1507293134928,2.1550461661700293,38.00884587690234,26.309664945856504,1508.44287109375,21568.0,1
KLA,decode,8192,1,32,2340.4074494416514,2339.6423663944006,2342.930787242949,1.8297582270867674,73.1377327950516,13.672832911053247,2021.50537109375,21568.0,1
KLA,decode,16384,1,32,4578.503556239109,4574.748739600182,4588.981688953936,7.507615960653504,143.07823613247214,6.989183170207158,3048.63037109375,21568.0,1
KLA,decode,32768,1,32,9028.9963549003,9030.54404258728,9030.716340988874,2.311664712190333,282.1561360906344,3.5441369939896656,5099.88037109375,21568.0,1
Mamba2,decode,4096,1,32,2152.159420773387,2161.16826236248,2164.0513008460402,14.82583560794628,67.25498189916834,14.868786991858007,1213.0966796875,17446.0,1
Mamba2,decode,8192,1,32,3967.324919998646,3959.3316139653325,3996.2549405172467,21.128062239490305,123.97890374995768,8.06588838708248,1737.1591796875,17446.0,1
Mamba2,decode,16384,1,32,7524.423421981434,7534.021404571831,7543.651785701513,20.759009953662275,235.13823193691982,4.252817552307991,2785.2841796875,17446.0,1
Mamba2,decode,32768,1,32,15208.772074741622,15193.940284661949,15243.959515355527,24.983264282291195,475.2741273356757,2.1040488898604024,4881.5341796875,17446.0,1
