Model,Phase,Context Length,Batch Size,New Tokens,Latency Mean (ms),Latency P50 (ms),Latency P90 (ms),Latency Std (ms),Latency/Token (ms),Tokens/s,Peak Allocated MiB,Peak Reserved MiB,Num Runs
GDN,decode,4096,1,32,1213.5008831198018,1211.9469661265612,1218.2313865050673,3.4099375070466698,37.921902597493805,26.369984929661424,1508.44287109375,20994.0,1
GDN,decode,8192,1,32,2346.7683366810284,2352.2441843524575,2352.5256300345063,7.9438611888711375,73.33651052128214,13.635772862547116,2021.50537109375,20994.0,1
GDN,decode,16384,1,32,5096.870742117365,4627.350404858589,6076.668170280755,693.0211773669599,159.27721069116765,6.278362081182858,3048.63037109375,20994.0,1
GDN,decode,32768,1,32,19385.856428804498,19396.88523579389,19398.8680774346,17.018432067177127,605.8080134001406,1.650687970248906,5099.88037109375,20994.0,1
GDN,prefill,4096,1,0,37.31378478308519,37.568767555058,37.721906788647175,0.4730354924725909,,109771.76461222365,1258.41064453125,1746.0,1
GDN,prefill,8192,1,0,72.00184557586908,71.82836532592773,72.47364055365324,0.3374796660689324,,113774.86138696272,1521.44189453125,2344.0,1
GDN,prefill,16384,1,0,138.05369256685177,139.0427779406309,140.5085874721408,2.5077080528674065,,118678.46267180529,2048.50439453125,3538.0,1
GDN,prefill,32768,1,0,274.30112349490327,274.6178302913904,274.97632429003716,0.7164914465658709,,119459.95547702836,3099.62939453125,5922.0,1
GDN,prefill,65536,1,0,550.1274646570286,550.5248298868537,550.9926788508892,0.9129807460998215,,119128.7550801663,5203.87939453125,11458.0,1
GDN,prefill,131072,1,0,1227.427980241676,1248.411662876606,1313.788641244173,80.45969346337661,,106785.89873288729,9412.37939453125,20994.0,1
KLA,decode,4096,1,32,1216.283068060875,1217.434954829514,1218.1507293134928,2.1550461661700293,38.00884587690234,26.309664945856504,1508.44287109375,21568.0,1
KLA,decode,8192,1,32,2340.4074494416514,2339.6423663944006,2342.930787242949,1.8297582270867674,73.1377327950516,13.672832911053247,2021.50537109375,21568.0,1
KLA,decode,16384,1,32,4578.503556239109,4574.748739600182,4588.981688953936,7.507615960653504,143.07823613247214,6.989183170207158,3048.63037109375,21568.0,1
KLA,decode,32768,1,32,9028.9963549003,9030.54404258728,9030.716340988874,2.311664712190333,282.1561360906344,3.5441369939896656,5099.88037109375,21568.0,1
KLA,prefill,4096,1,0,37.23525411138932,37.18374017626047,37.423381581902504,0.13748804641902013,,110003.27774712669,1258.41064453125,1744.0,1
KLA,prefill,8192,1,0,71.5981861576438,72.4113192409277,73.78148846328259,2.1913937276633426,,114416.3063288081,1521.44189453125,2342.0,1
KLA,prefill,16384,1,0,140.54064359515905,140.2702508494258,141.19871892035007,0.4677866867798692,,116578.37605465719,2048.50439453125,3728.0,1
KLA,prefill,32768,1,0,276.52466514458257,276.60204470157623,276.6795698553324,0.16727128294490948,,118499.37502995277,3099.62939453125,6496.0,1
KLA,prefill,65536,1,0,552.0969772090515,551.5587981790304,553.6969127133489,1.1513408265921405,,118703.78340286546,5203.87939453125,12032.0,1
KLA,prefill,131072,1,0,1220.3962632144492,1261.9359381496906,1288.3984381332994,78.20753854728633,,107401.18103505526,9412.37939453125,21568.0,1
Mamba2,decode,4096,1,32,2152.159420773387,2161.16826236248,2164.0513008460402,14.82583560794628,67.25498189916834,14.868786991858007,1213.0966796875,17446.0,1
Mamba2,decode,8192,1,32,3967.324919998646,3959.3316139653325,3996.2549405172467,21.128062239490305,123.97890374995768,8.06588838708248,1737.1591796875,17446.0,1
Mamba2,decode,16384,1,32,7524.423421981434,7534.021404571831,7543.651785701513,20.759009953662275,235.13823193691982,4.252817552307991,2785.2841796875,17446.0,1
Mamba2,decode,32768,1,32,15208.772074741622,15193.940284661949,15243.959515355527,24.983264282291195,475.2741273356757,2.1040488898604024,4881.5341796875,17446.0,1
Mamba2,prefill,4096,1,0,68.59249000747998,68.43633949756622,69.06167697161436,0.337891112012422,,59714.992115803536,963.064453125,1946.0,1
Mamba2,prefill,8192,1,0,124.85171264658372,124.80380572378635,125.00076740980148,0.10761549038363195,,65613.83761862361,1237.095703125,2446.0,1
Mamba2,prefill,16384,1,0,239.2159237836798,238.31001110374928,242.34414752572775,2.276336824870228,,68490.4238014517,1785.158203125,3446.0,1
Mamba2,prefill,32768,1,0,476.74331720918417,479.28543388843536,487.9589332267642,10.352577920855975,,68733.00331050502,2881.283203125,5446.0,1
Mamba2,prefill,65536,1,0,953.4388907874624,945.4946517944336,978.0589742586017,17.770230090072477,,68736.44512851017,5073.533203125,9446.0,1
Mamba2,prefill,131072,1,0,1936.174927900235,1939.8409519344568,1954.3409086763859,16.53359230797642,,67696.3626123113,9458.033203125,17446.0,1
