Model,Model Raw,Step,Accuracy,Seed,Path
Mamba2,Mamba2_Palindrome,500,0.8435484021902084,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,1000,1.1607526801526546,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,1500,1.3763440772891045,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,2000,1.6429618000984192,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,2500,2.0823558792471886,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,3000,2.377859316766262,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,3500,2.8988270089030266,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,4000,3.194623813033104,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,4500,3.484555333852768,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,5000,3.483137860894203,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,5500,3.8647115230560303,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,6000,3.8540076464414597,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,6500,4.960117116570473,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,7000,8.401075005531311,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,7500,14.033578336238861,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,8000,16.99838638305664,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,8500,22.370430827140808,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,9000,26.537194848060608,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,9500,29.34095859527588,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,10000,39.28323686122894,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,10500,41.23787879943848,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,11000,52.30703949928284,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,11500,55.39364814758301,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,12000,58.679670095443726,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,12500,60.99252104759216,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,13000,70.35918831825256,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,13500,75.73826909065247,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,14000,69.6329414844513,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,14500,80.61519861221313,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,15000,82.66573548316956,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,15500,82.70591497421265,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,16000,80.72272539138794,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
Mamba2,Mamba2_Palindrome,16500,85.6546938419342,42,./out/palindrome/Mamba2_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
