Model,Step,Accuracy
GDN,500,0.7808895315974951
GDN,1000,0.7885630242526531
GDN,1500,0.7924242876470089
GDN,2000,0.7882697507739067
GDN,2500,1.5827467665076256
GDN,3000,42.13758409023285
GDN,3500,77.1919846534729
GDN,4000,87.62907981872559
GDN,4500,90.17345905303955
GDN,5000,91.73890352249146
GDN,5500,92.91558861732483
GDN,6000,93.59701871871948
GDN,6500,94.2125141620636
GDN,7000,94.71309781074524
GDN,7500,95.09467482566833
GDN,8000,95.25943398475647
GDN,8500,95.48841714859009
GDN,9000,95.6011712551117
GDN,9500,95.84623575210571
GDN,10000,96.01969718933105
GDN,10500,96.21520042419434
GDN,11000,96.33064270019531
GDN,11500,96.48303985595703
GDN,12000,96.59643173217773
GDN,12500,96.76207304000854
GDN,13000,96.8493640422821
GDN,13500,96.90987467765808
GDN,14000,97.00625538825989
GDN,14500,97.18846678733826
GDN,15000,97.29222655296326
GDN,15500,97.42326736450195
GDN,16000,97.53386974334717
GDN,16500,97.61309623718262
GDN,17000,97.75195717811584
GDN,17500,97.90616035461426
GDN,18000,97.94374108314514
GDN,18500,98.04828763008118
GDN,19000,98.13817143440247
GDN,19500,98.11211824417114
GDN,20000,98.23094010353088
KLA,500,0.8023460395634174
KLA,1000,0.7696480955928564
KLA,1500,0.7930107414722443
KLA,2000,0.790762435644865
KLA,2500,0.7925708778202534
KLA,3000,19.044330716133118
KLA,3500,55.3790807723999
KLA,4000,67.57502555847168
KLA,4500,75.69823861122131
KLA,5000,87.45312690734863
KLA,5500,89.8925244808197
KLA,6000,91.20381474494934
KLA,6500,92.48123168945312
KLA,7000,93.39203238487244
KLA,7500,93.95664930343628
KLA,8000,94.31681036949158
KLA,8500,94.66163516044617
KLA,9000,94.83587741851807
KLA,9500,95.1266884803772
KLA,10000,95.4535186290741
KLA,10500,95.70522904396057
KLA,11000,95.85772156715393
KLA,11500,96.10058665275574
KLA,12000,96.23543620109558
KLA,12500,96.5366542339325
KLA,13000,96.71955108642578
KLA,13500,96.8218982219696
KLA,14000,96.91441655158997
KLA,14500,96.92932367324829
KLA,15000,97.05914258956909
KLA,15500,97.06138968467712
KLA,16000,97.05430269241333
KLA,16500,97.11182713508606
KLA,17000,97.08260297775269
KLA,17500,97.1502959728241
KLA,18000,97.1731185913086
KLA,18500,97.174733877182
KLA,19000,97.1867561340332
KLA,19500,97.23314046859741
KLA,20000,97.18264937400818
Mamba2,500,0.8435484021902084
Mamba2,1000,1.1607526801526546
Mamba2,1500,1.3763440772891045
Mamba2,2000,1.6429618000984192
Mamba2,2500,2.0823558792471886
Mamba2,3000,2.377859316766262
Mamba2,3500,2.8988270089030266
Mamba2,4000,3.194623813033104
Mamba2,4500,3.484555333852768
Mamba2,5000,3.483137860894203
Mamba2,5500,3.8647115230560303
Mamba2,6000,3.8540076464414597
Mamba2,6500,4.960117116570473
Mamba2,7000,8.401075005531311
Mamba2,7500,14.033578336238861
Mamba2,8000,16.99838638305664
Mamba2,8500,22.370430827140808
Mamba2,9000,26.537194848060608
Mamba2,9500,29.34095859527588
Mamba2,10000,39.28323686122894
Mamba2,10500,41.23787879943848
Mamba2,11000,52.30703949928284
Mamba2,11500,55.39364814758301
Mamba2,12000,58.679670095443726
Mamba2,12500,60.99252104759216
Mamba2,13000,70.35918831825256
Mamba2,13500,75.73826909065247
Mamba2,14000,69.6329414844513
Mamba2,14500,80.61519861221313
Mamba2,15000,82.66573548316956
Mamba2,15500,82.70591497421265
Mamba2,16000,80.72272539138794
Mamba2,16500,85.6546938419342
Mamba2,17000,84.20073390007019
Mamba2,17500,85.8477532863617
Mamba2,18000,80.61329126358032
Mamba2,18500,84.30595993995667
Mamba2,19000,76.45156383514404
Mamba2,19500,88.25430274009705
Mamba2,20000,85.29012799263
