Model,Context Length,PPL,Baseline Length,Baseline PPL,PPL Ratio vs Baseline,PPL Increase (%) vs Baseline,Num Runs
GDN,1024,42.909256099705004,4096,43.807934702750494,0.9794859399525843,-2.051406004741574,1
GDN,2048,43.503647772257374,4096,43.807934702750494,0.9930540681144228,-0.6945931885577239,1
GDN,4096,43.807934702750494,4096,43.807934702750494,1.0,0.0,1
GDN,8192,47.43899729672702,4096,43.807934702750494,1.0828859570444107,8.288595704441072,1
GDN,16384,49.42078450504182,4096,43.807934702750494,1.1281240451159393,12.812404511593932,1
GDN,32768,48.4364947519705,4096,43.807934702750494,1.1056557466273205,10.565574662732047,1
GDN,65536,47.54437949184782,4096,43.807934702750494,1.0852915074506522,8.529150745065216,1
KLA,1024,39.06051142126646,4096,39.971811219114706,0.9772014384624018,-2.2798561537598183,1
KLA,2048,39.7526045265092,4096,39.971811219114706,0.9945159679804382,-0.5484032019561824,1
KLA,4096,39.971811219114706,4096,39.971811219114706,1.0,0.0,1
KLA,8192,43.581258573414736,4096,39.971811219114706,1.0902998199034317,9.029981990343172,1
KLA,16384,45.26906818156474,4096,39.971811219114706,1.132524816886878,13.252481688687801,1
KLA,32768,44.457163170050336,4096,39.971811219114706,1.112212877378714,11.22128773787141,1
KLA,65536,43.576260990160854,4096,39.971811219114706,1.0901747922126301,9.017479221263013,1
Mamba2,1024,49.91447214514959,4096,52.22252703350234,0.9558034622324565,-4.419653776754351,1
Mamba2,2048,50.8592315740621,4096,52.22252703350234,0.9738944946389584,-2.6105505361041614,1
Mamba2,4096,52.22252703350234,4096,52.22252703350234,1.0,0.0,1
Mamba2,8192,56.40221175563219,4096,52.22252703350234,1.0800360488003282,8.003604880032821,1
Mamba2,16384,58.71438549466882,4096,52.22252703350234,1.124311457716356,12.431145771635599,1
Mamba2,32768,57.28558223268482,4096,52.22252703350234,1.0969515549474345,9.695155494743446,1
Mamba2,65536,56.666936727717896,4096,52.22252703350234,1.085105220805656,8.510522080565597,1
