Model,Model Raw,Context Length,Loss,PPL,Seed,Path,Num Batches,Config Name,Checkpoint
GDN,GDN,1024,3.759087562561035,42.909256099705004,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/GDN/results.json,15,GatedDeltaNet_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_GatedDeltaNet_0.4B/final-model-ckpt.pth
GDN,GDN,2048,3.7728447914123535,43.503647772257374,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/GDN/results.json,15,GatedDeltaNet_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_GatedDeltaNet_0.4B/final-model-ckpt.pth
GDN,GDN,4096,3.7798149585723877,43.807934702750494,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/GDN/results.json,15,GatedDeltaNet_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_GatedDeltaNet_0.4B/final-model-ckpt.pth
GDN,GDN,8192,3.8594446182250977,47.43899729672702,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/GDN/results.json,15,GatedDeltaNet_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_GatedDeltaNet_0.4B/final-model-ckpt.pth
GDN,GDN,16384,3.9003710746765137,49.42078450504182,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/GDN/results.json,15,GatedDeltaNet_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_GatedDeltaNet_0.4B/final-model-ckpt.pth
GDN,GDN,32768,3.880253553390503,48.4364947519705,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/GDN/results.json,15,GatedDeltaNet_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_GatedDeltaNet_0.4B/final-model-ckpt.pth
GDN,GDN,65536,3.861663579940796,47.54437949184782,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/GDN/results.json,15,GatedDeltaNet_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_GatedDeltaNet_0.4B/final-model-ckpt.pth
KLA,KLA,1024,3.665112018585205,39.06051142126646,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/KLA/results.json,15,RelaxedKaczmarzQNorm_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_RelaxedKaczmarzQNorm_0.4B/final-model-ckpt.pth
KLA,KLA,2048,3.682675361633301,39.7526045265092,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/KLA/results.json,15,RelaxedKaczmarzQNorm_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_RelaxedKaczmarzQNorm_0.4B/final-model-ckpt.pth
KLA,KLA,4096,3.6881744861602783,39.971811219114706,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/KLA/results.json,15,RelaxedKaczmarzQNorm_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_RelaxedKaczmarzQNorm_0.4B/final-model-ckpt.pth
KLA,KLA,8192,3.774627208709717,43.581258573414736,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/KLA/results.json,15,RelaxedKaczmarzQNorm_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_RelaxedKaczmarzQNorm_0.4B/final-model-ckpt.pth
KLA,KLA,16384,3.812623977661133,45.26906818156474,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/KLA/results.json,15,RelaxedKaczmarzQNorm_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_RelaxedKaczmarzQNorm_0.4B/final-model-ckpt.pth
KLA,KLA,32768,3.7945261001586914,44.457163170050336,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/KLA/results.json,15,RelaxedKaczmarzQNorm_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_RelaxedKaczmarzQNorm_0.4B/final-model-ckpt.pth
KLA,KLA,65536,3.774512529373169,43.576260990160854,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/KLA/results.json,15,RelaxedKaczmarzQNorm_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_RelaxedKaczmarzQNorm_0.4B/final-model-ckpt.pth
Mamba2,Mamba2,1024,3.910310983657837,49.91447214514959,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/Mamba2/results.json,15,Mamba2_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Mamba2_0.4B/final-model-ckpt.pth
Mamba2,Mamba2,2048,3.9290616512298584,50.8592315740621,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/Mamba2/results.json,15,Mamba2_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Mamba2_0.4B/final-model-ckpt.pth
Mamba2,Mamba2,4096,3.9555139541625977,52.22252703350234,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/Mamba2/results.json,15,Mamba2_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Mamba2_0.4B/final-model-ckpt.pth
Mamba2,Mamba2,8192,4.032508373260498,56.40221175563219,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/Mamba2/results.json,15,Mamba2_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Mamba2_0.4B/final-model-ckpt.pth
Mamba2,Mamba2,16384,4.0726847648620605,58.71438549466882,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/Mamba2/results.json,15,Mamba2_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Mamba2_0.4B/final-model-ckpt.pth
Mamba2,Mamba2,32768,4.048048973083496,57.28558223268482,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/Mamba2/results.json,15,Mamba2_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Mamba2_0.4B/final-model-ckpt.pth
Mamba2,Mamba2,65536,4.037190914154053,56.666936727717896,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context/Mamba2/results.json,15,Mamba2_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Mamba2_0.4B/final-model-ckpt.pth
