Model,Step,Accuracy
GDN,500,86.68440580368042
GDN,1000,95.74984908103943
GDN,1500,96.65095806121826
GDN,2000,97.21165895462036
GDN,2500,97.83592820167542
GDN,3000,98.29720258712769
GDN,3500,98.61026406288147
GDN,4000,98.71264696121216
GDN,4500,98.82131218910217
GDN,5000,98.87786507606506
GDN,5500,98.89375567436218
GDN,6000,98.86972904205322
GDN,6500,98.83831143379211
GDN,7000,98.79876375198364
GDN,7500,98.91223311424255
GDN,8000,98.84977340698242
GDN,8500,98.88895153999329
GDN,9000,98.79395961761475
GDN,9500,98.8275945186615
GDN,10000,98.86972904205322
GDN,10500,98.86049032211304
GDN,11000,98.84940385818481
GDN,11500,98.83313775062561
GDN,12000,98.84792566299438
GDN,12500,98.87860417366028
GDN,13000,98.87009859085083
GDN,13500,98.8323986530304
GDN,14000,98.87009859085083
GDN,14500,98.8124430179596
GDN,15000,98.81724715232849
GDN,15500,98.83868098258972
GDN,16000,98.82463812828064
GDN,16500,98.85531663894653
GDN,17000,98.81392121315002
GDN,17500,98.80726933479309
KLA,500,95.70586681365967
KLA,1000,96.96549773216248
KLA,1500,97.5786805152893
KLA,2000,98.33675026893616
KLA,2500,98.66940379142761
KLA,3000,98.84570837020874
KLA,3500,98.90816807746887
KLA,4000,98.98430705070496
KLA,4500,99.0024209022522
KLA,5000,99.04270768165588
KLA,5500,99.0338385105133
KLA,6000,99.0172028541565
KLA,6500,99.05786514282227
KLA,7000,99.07597303390503
KLA,7500,99.11441206932068
KLA,8000,99.10295605659485
KLA,8500,99.0955650806427
KLA,9000,99.14102554321289
KLA,9500,99.13843870162964
KLA,10000,99.14213418960571
KLA,10500,99.16837811470032
KLA,11000,99.14952516555786
KLA,11500,99.17429089546204
KLA,12000,99.16542172431946
KLA,12500,99.18057322502136
KLA,13000,99.17466044425964
KLA,13500,99.17207360267639
KLA,14000,99.13806915283203
KLA,14500,99.15248155593872
KLA,15000,99.20090436935425
KLA,15500,99.19461607933044
KLA,16000,99.1772472858429
KLA,16500,99.12772178649902
KLA,17000,99.16874766349792
KLA,17500,99.20792579650879
KLA,18000,99.17983412742615
KLA,18500,99.1986870765686
KLA,19000,99.172443151474
KLA,19500,99.16800856590271
KLA,20000,99.14582967758179
Mamba2,500,13.59390914440155
Mamba2,1000,14.010460674762726
Mamba2,1500,17.125537991523743
Mamba2,2000,17.2892764210701
Mamba2,2500,32.29546546936035
Mamba2,3000,78.20332050323486
Mamba2,3500,85.33791899681091
Mamba2,4000,91.27570986747742
Mamba2,4500,94.47579979896545
Mamba2,5000,95.8762526512146
Mamba2,5500,97.38574624061584
Mamba2,6000,98.10242056846619
Mamba2,6500,98.308664560318
Mamba2,7000,98.60767722129822
Mamba2,7500,98.72114658355713
Mamba2,8000,98.87675046920776
Mamba2,8500,99.02644753456116
Mamba2,9000,99.07560348510742
Mamba2,9500,99.12735223770142
Mamba2,10000,99.19572472572327
Mamba2,10500,99.23638701438904
Mamba2,11000,99.21236038208008
Mamba2,11500,99.33802485466003
Mamba2,12000,99.34505224227905
Mamba2,12500,99.3472695350647
Mamba2,13000,99.3006944656372
Mamba2,13500,99.46258664131165
Mamba2,14000,99.41712617874146
Mamba2,14500,99.42525625228882
Mamba2,15000,99.47847723960876
Mamba2,15500,99.4803249835968
Mamba2,16000,99.54537749290466
Mamba2,16500,99.51506853103638
Mamba2,17000,99.46258664131165
Mamba2,17500,99.47256445884705
Mamba2,18000,99.51211214065552
Mamba2,18500,99.51691627502441
Mamba2,19000,99.5324432849884
Mamba2,19500,99.53983426094055
Mamba2,20000,99.50767755508423
