Model,Model Raw,Step,Accuracy,Seed,Path
Mamba2,Mamba2_Stack,500,13.59390914440155,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,1000,14.010460674762726,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,1500,17.125537991523743,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,2000,17.2892764210701,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,2500,32.29546546936035,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,3000,78.20332050323486,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,3500,85.33791899681091,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,4000,91.27570986747742,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,4500,94.47579979896545,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,5000,95.8762526512146,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,5500,97.38574624061584,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,6000,98.10242056846619,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,6500,98.308664560318,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,7000,98.60767722129822,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,7500,98.72114658355713,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,8000,98.87675046920776,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,8500,99.02644753456116,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,9000,99.07560348510742,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,9500,99.12735223770142,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,10000,99.19572472572327,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,10500,99.23638701438904,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,11000,99.21236038208008,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,11500,99.33802485466003,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,12000,99.34505224227905,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,12500,99.3472695350647,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,13000,99.3006944656372,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,13500,99.46258664131165,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,14000,99.41712617874146,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,14500,99.42525625228882,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,15000,99.47847723960876,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,15500,99.4803249835968,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,16000,99.54537749290466,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,16500,99.51506853103638,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,17000,99.46258664131165,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,17500,99.47256445884705,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,18000,99.51211214065552,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,18500,99.51691627502441,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,19000,99.5324432849884,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,19500,99.53983426094055,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
Mamba2,Mamba2_Stack,20000,99.50767755508423,42,./out/stack/Mamba2_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,500,86.68440580368042,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,1000,95.74984908103943,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,1500,96.65095806121826,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,2000,97.21165895462036,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,2500,97.83592820167542,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,3000,98.29720258712769,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,3500,98.61026406288147,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
GDN,GatedDeltaNet_Stack,4000,98.71264696121216,42,./out/stack/GatedDeltaNet_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
